Tanoo,30000001,,0.858324,14,13,10,19,4,,
Lashesih,30000002,,0.751689,13,13,10,19,4,,
Akpivem,30000003,,0.846292,-1,-1,-1,-1,-1,,
Jark,30000004,,0.817001,-1,-1,-1,-1,-1,,
Sasta,30000005,,0.814337,-1,-1,-1,-1,-1,,
Zaid,30000006,,0.864229,-1,-1,-1,-1,-1,,
Yuzier,30000007,,0.906556,-1,-1,-1,-1,-1,,
Nirbhi,30000008,,0.882116,-1,-1,-1,-1,-1,,
Sooma,30000009,,0.577819,-1,-1,-1,-1,-1,,
Chidah,30000010,,0.539052,-1,-1,-1,-1,-1,,
Shenela,30000011,,0.456959,-1,-1,-1,-1,-1,,
Asabona,30000012,,0.322884,-1,-1,-1,-1,-1,,
Onsooh,30000013,,0.442817,-1,-1,-1,-1,-1,,
Shamahi,30000014,,0.355242,-1,-1,-1,-1,-1,,
Sendaya,30000015,,0.293933,-1,-1,-1,-1,-1,,
Nazhgete,30000016,,0.391497,-1,-1,-1,-1,-1,,
Futzchag,30000017,,0.172229,-1,-1,-1,-1,-1,,
Kazna,30000018,,0.231263,-1,-1,-1,-1,-1,,
Podion,30000019,,0.109705,-1,-1,-1,-1,-1,,
Lilmad,30000020,,0.160449,-1,-1,-1,-1,-1,,
Kuharah,30000021,,0.189705,-1,-1,-1,-1,-1,,
Jayneleb,30000022,,0.11384,-1,-1,-1,-1,-1,,
Fovihi,30000023,,0.869394,-1,-1,-1,-1,-1,,
Kiereend,30000024,,0.840835,19,18,14,23,9,,
Rashy,30000025,,0.803266,-1,-1,-1,-1,-1,,
Ordize,30000026,,0.695564,-1,-1,-1,-1,-1,,
Psasa,30000027,,0.749913,-1,-1,-1,-1,-1,,
Eshtah,30000028,,0.768433,24,24,16,33,10,,
Lachailes,30000029,,0.573051,-1,-1,-1,-1,-1,,
Kasrasi,30000030,,0.573076,19,18,12,21,9,,
Mohas,30000031,,0.681783,-1,-1,-1,-1,-1,,
Hasiari,30000032,,0.798188,-1,-1,-1,-1,-1,,
Radima,30000033,,0.75392,-1,-1,-1,-1,-1,,
Alkez,30000034,,0.782123,-1,-1,-1,-1,-1,,
Nimambal,30000035,,0.594051,15,14,11,20,5,,
Yishinoon,30000036,,0.424718,14,13,10,19,4,,
Uplingur,30000037,,0.422069,-1,-1,-1,-1,-1,,
Dooz,30000038,,0.423729,19,23,20,28,14,,
Bayuka,30000039,,0.400722,-1,-1,-1,-1,-1,,
Uzistoon,30000040,,0.390646,-1,-1,-1,-1,-1,,
Bairshir,30000041,,0.364088,24,33,25,33,19,,
Moh,30000042,,0.472835,-1,-1,-1,-1,-1,,
Sari,30000043,,0.379343,-1,-1,-1,-1,-1,,
Faspera,30000044,,0.128258,-1,-1,-1,-1,-1,,
Jaymass,30000045,,0.216311,-1,-1,-1,-1,-1,,
Mifrata,30000046,,0.303803,-1,-1,-1,-1,-1,,
Majamar,30000047,,0.369186,-1,-1,-1,-1,-1,,
Ihal,30000048,,0.492701,-1,-1,-1,-1,-1,,
Camal,30000049,,0.212977,19,21,18,27,12,,
Fera,30000050,,0.477246,-1,-1,-1,-1,-1,,
Juddi,30000051,,0.649137,-1,-1,-1,-1,-1,,
Maspah,30000052,,0.799901,-1,-1,-1,-1,-1,,
Ibaria,30000053,,0.730979,17,16,13,22,7,,
Shala,30000054,,0.715564,-1,-1,-1,-1,-1,,
Zemalu,30000055,,0.725159,17,16,13,22,7,,
Khankenirdia,30000056,,0.613596,18,17,14,23,8,,
Nikh,30000057,,0.774198,-1,-1,-1,-1,-1,,
Amphar,30000058,,0.702187,-1,-1,-1,-1,-1,,
Salashayama,30000059,,0.665586,-1,-1,-1,-1,-1,,
Janus,30000060,,0.545571,-1,-1,-1,-1,-1,,
Agha,30000061,,0.718783,-1,-1,-1,-1,-1,,
Iosantin,30000062,,0.450343,-1,-1,-1,-1,-1,,
Orva,30000063,,0.50995,-1,-1,-1,-1,-1,,
Zet,30000064,,0.569698,-1,-1,-1,-1,-1,,
Akhrad,30000065,,0.358477,-1,-1,-1,-1,-1,,
Pirohdim,30000066,,0.628696,-1,-1,-1,-1,-1,,
Sharir,30000067,,0.396849,-1,-1,-1,-1,-1,,
Usroh,30000068,,0.597458,18,17,14,23,8,,
Thiarer,30000069,,0.542033,22,21,16,25,12,,
Gomati,30000070,,0.387421,13,23,15,22,9,,
Jangar,30000071,,0.527329,-1,-1,-1,-1,-1,,
Nakah,30000072,,0.363864,-1,-1,-1,-1,-1,,
Irshah,30000073,,0.429507,-1,-1,-1,-1,-1,,
Hasateem,30000074,,0.426496,-1,-1,-1,-1,-1,,
Assah,30000075,,0.297802,12,17,16,21,10,,
Tidacha,30000076,,0.820099,17,16,13,22,7,,
Odlib,30000077,,0.824517,-1,-1,-1,-1,-1,,
Jofan,30000078,,0.779548,-1,-1,-1,-1,-1,,
Milu,30000079,,0.769625,-1,-1,-1,-1,-1,,
Yadi,30000080,,0.750268,19,18,15,24,9,,
Buftiar,30000081,,0.708741,-1,-1,-1,-1,-1,,
Jarizza,30000082,,0.765431,-1,-1,-1,-1,-1,,
Ejahi,30000083,,0.72891,-1,-1,-1,-1,-1,,
Asghatil,30000084,,0.794778,-1,-1,-1,-1,-1,,
Bar,30000085,,0.665838,-1,-1,-1,-1,-1,,
Sucha,30000086,,0.658265,15,16,13,22,7,,
Gelhan,30000087,,0.701676,-1,-1,-1,-1,-1,,
Akeva,30000088,,0.664835,-1,-1,-1,-1,-1,,
Sosa,30000089,,0.301179,-1,-1,-1,-1,-1,,
Ilahed,30000090,,0.315943,18,22,19,27,13,,
Eshwil,30000091,,0.218968,20,29,21,29,15,,
Aranir,30000092,,0.242789,-1,-1,-1,-1,-1,,
Ishkad,30000093,,0.366036,-1,-1,-1,-1,-1,,
Hahyil,30000094,,0.208115,-1,-1,-1,-1,-1,,
Asilem,30000095,,0.284998,20,22,19,28,13,,
Mahnagh,30000096,,0.205003,-1,-1,-1,-1,-1,,
Shach,30000097,,0.326043,19,28,20,28,14,,
Kehrara,30000098,,0.364844,-1,-1,-1,-1,-1,,
Arena,30000099,,0.44233,19,20,17,26,11,,
Timeor,30000100,,0.314131,20,29,21,29,15,,
Uhtafal,30000101,,0.499612,-1,-1,-1,-1,-1,,
Dysa,30000102,,0.236195,-1,-1,-1,-1,-1,,
Serad,30000103,,0.525836,20,20,17,26,11,,
Mahti,30000104,,0.228282,-1,-1,-1,-1,-1,,
Abha,30000105,,0.434101,-1,-1,-1,-1,-1,,
Shedoo,30000106,,0.506118,-1,-1,-1,-1,-1,,
